employee_id,department,region,education,gender,recruitment_channel,Training_Time,age,Prformance_Rating,Years_at_company,Working_Hours,Flexible_Timings,Workload_level,Monthly_Income,Work_Satisfaction,Percent_salary_hike,companies_worked,Marital_Status,Stress_status
EMPID65438,Sales & Marketing,region_7,Master's & above,f,sourcing,1,35,5,8,8,Yes,Low,30000,No,20,2,Yes,Yes
EMPID65141,Operations,region_22,Bachelor's,m,other,1,30,5,4,6,Yes,Low,45000,No,30,4,Yes,No
EMPID7513,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,34,3,7,9,No,High,34000,No,15,5,No,Yes
EMPID2542,Sales & Marketing,region_23,Bachelor's,m,other,2,39,1,10,10,No,High,60000,Yes,30,4,No,Yes
EMPID48945,Technology,region_26,Bachelor's,m,other,1,45,3,2,7,No,Low,35000,No,14,3,No,No
EMPID58896,Analytics,region_2,Bachelor's,m,sourcing,2,31,3,7,8,Yes,High,25000,Yes,15,4,Yes,Yes
EMPID20379,Operations,region_20,Bachelor's,f,other,1,31,3,5,5,Yes,Low,67000,No,17,5,Yes,Yes
EMPID16290,Operations,region_34,Master's & above,m,sourcing,1,33,3,6,8,No,High,78300,Yes,18,6,No,Yes
EMPID73202,Analytics,region_20,Bachelor's,m,other,1,28,4,5,9,Yes,Low,56000,No,25,7,Yes,No
EMPID28911,Sales & Marketing,region_1,Master's & above,m,sourcing,1,32,5,5,10,No,High,45000,No,30,4,No,Yes
EMPID29934,Technology,region_23,,m,sourcing,1,30,6,1,6,Yes,Low,43000,Yes,32,6,Yes,Yes
EMPID49017,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,35,5,3,7,Yes,High,45000,Yes,23,7,Yes,Yes
EMPID60051,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,49,5,5,4,Yes,Low,30000,No,21,8,Yes,Yes
EMPID38401,Technology,region_29,Master's & above,m,other,2,39,3,16,7,No,High,45000,Yes,24,4,No,Yes
EMPID77040,R&D,region_2,Master's & above,m,sourcing,1,37,3,7,8,Yes,High,45000,No,21,5,Yes,Yes
EMPID43931,Operations,region_7,Bachelor's,m,other,1,37,1,10,5,No,High,50000,Yes,30,4,No,No
EMPID7152,Technology,region_2,Bachelor's,m,other,1,38,3,5,8,No,Low,34000,No,25,5,No,No
EMPID9403,Sales & Marketing,region_31,Bachelor's,m,other,1,34,1,4,9,No,Low,45000,Yes,24,6,No,Yes
EMPID17436,Sales & Marketing,region_31,Bachelor's,m,other,1,34,5,8,8,Yes,Low,45000,Yes,26,4,Yes,Yes
EMPID54461,Operations,region_15,Bachelor's,m,other,1,37,3,9,7,No,High,30000,No,30,3,No,No
EMPID12067,Procurement,region_14,Bachelor's,m,other,1,35,3,7,9,Yes,High,20000,Yes,19,6,Yes,Yes
