employee_id,department,region,education,gender,recruitment_channel,Training_Time,age,Prformance_Rating,Years_at_company,Working_Hours,Flexible_Timings,Workload_level,Monthly_Income,Work_Satisfaction,Percent_salary_hike,companies_worked,Marital_Status,Stress_status,Results
EMPID65438,Sales & Marketing,region_7,Master's & above,f,sourcing,1,35,5.0,8,8,Yes,Low,30000,No,20,2,Yes,Yes,1
EMPID65141,Operations,region_22,Bachelor's,m,other,1,30,5.0,4,6,Yes,Low,45000,No,30,4,Yes,No,0
EMPID7513,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,34,3.0,7,9,No,High,34000,No,15,5,No,Yes,1
EMPID2542,Sales & Marketing,region_23,Bachelor's,m,other,2,39,1.0,10,10,No,High,60000,Yes,30,4,No,Yes,1
EMPID48945,Technology,region_26,Bachelor's,m,other,1,45,3.0,2,7,No,Low,35000,No,14,3,No,No,0
EMPID58896,Analytics,region_2,Bachelor's,m,sourcing,2,31,3.0,7,8,Yes,High,25000,Yes,15,4,Yes,Yes,1
EMPID20379,Operations,region_20,Bachelor's,f,other,1,31,3.0,5,5,Yes,Low,67000,No,17,5,Yes,Yes,1
EMPID16290,Operations,region_34,Master's & above,m,sourcing,1,33,3.0,6,8,No,High,78300,Yes,18,6,No,Yes,1
EMPID73202,Analytics,region_20,Bachelor's,m,other,1,28,4.0,5,9,Yes,Low,56000,No,25,7,Yes,No,0
EMPID28911,Sales & Marketing,region_1,Master's & above,m,sourcing,1,32,5.0,5,10,No,High,45000,No,30,4,No,Yes,1
EMPID29934,Technology,region_23,,m,sourcing,1,30,6.0,1,6,Yes,Low,43000,Yes,32,6,Yes,Yes,1
EMPID49017,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,35,5.0,3,7,Yes,High,45000,Yes,23,7,Yes,Yes,1
EMPID60051,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,49,5.0,5,4,Yes,Low,30000,No,21,8,Yes,Yes,1
EMPID38401,Technology,region_29,Master's & above,m,other,2,39,3.0,16,7,No,High,45000,Yes,24,4,No,Yes,1
EMPID77040,R&D,region_2,Master's & above,m,sourcing,1,37,3.0,7,8,Yes,High,45000,No,21,5,Yes,Yes,1
EMPID43931,Operations,region_7,Bachelor's,m,other,1,37,1.0,10,5,No,High,50000,Yes,30,4,No,No,0
EMPID7152,Technology,region_2,Bachelor's,m,other,1,38,3.0,5,8,No,Low,34000,No,25,5,No,No,0
EMPID9403,Sales & Marketing,region_31,Bachelor's,m,other,1,34,1.0,4,9,No,Low,45000,Yes,24,6,No,Yes,1
EMPID17436,Sales & Marketing,region_31,Bachelor's,m,other,1,34,5.0,8,8,Yes,Low,45000,Yes,26,4,Yes,Yes,1
EMPID54461,Operations,region_15,Bachelor's,m,other,1,37,3.0,9,7,No,High,30000,No,30,3,No,No,0
EMPID12067,Procurement,region_14,Bachelor's,m,other,1,35,3.0,7,9,Yes,High,20000,Yes,19,6,Yes,Yes,1
EMPID33332,Operations,region_15,,m,sourcing,1,41,4.0,11,10,Yes,High,25000,No,15,4,Yes,Yes,1
EMPID58789,Finance,region_11,Bachelor's,f,other,1,28,3.0,4,9,No,Low,45000,No,20,3,No,Yes,1
EMPID71177,Procurement,region_5,Bachelor's,m,other,1,27,,1,8,No,High,45000,Yes,30,5,No,Yes,1
EMPID52057,Finance,region_22,Master's & above,m,sourcing,2,39,5.0,7,6,Yes,High,53000,No,25,6,Yes,Yes,1
EMPID26585,Technology,region_22,Bachelor's,m,other,1,27,5.0,3,9,No,Low,45000,No,16,5,No,No,0
EMPID37749,Procurement,region_26,Bachelor's,m,other,1,31,5.0,4,8,No,High,60000,No,20,4,No,No,0
EMPID2370,Technology,region_26,Bachelor's,m,other,1,33,4.0,4,7,No,Low,45000,No,25,5,No,No,0
EMPID8219,Analytics,region_5,Bachelor's,m,other,1,29,5.0,3,8,No,High,43000,No,30,6,No,No,0
EMPID74759,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,26,,1,9,Yes,Low,56000,Yes,25,5,Yes,Yes,1
EMPID27395,Procurement,region_15,Bachelor's,m,sourcing,1,37,5.0,10,10,No,High,43000,No,30,4,No,Yes,1
EMPID58536,Finance,region_31,Bachelor's,m,other,2,26,1.0,2,9,Yes,Low,45000,Yes,25,6,Yes,Yes,1
EMPID35465,Sales & Marketing,region_7,,f,sourcing,1,24,1.0,2,7,No,Low,34000,Yes,30,7,No,Yes,1
EMPID51756,Operations,region_2,Bachelor's,m,sourcing,2,57,4.0,6,9,No,Low,25000,Yes,23,5,No,Yes,1
EMPID57011,Analytics,region_22,Bachelor's,m,other,2,27,5.0,3,8,Yes,Low,45000,No,30,4,Yes,Yes,1
EMPID77064,Sales & Marketing,region_22,Bachelor's,m,other,1,40,2.0,4,8,No,Low,45000,Yes,25,3,No,Yes,1
EMPID64062,Technology,region_28,Bachelor's,m,sourcing,1,33,4.0,4,9,Yes,Low,78300,Yes,30,5,Yes,Yes,1
EMPID47123,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,40,5.0,3,10,Yes,Low,56000,No,25,6,Yes,Yes,1
EMPID56275,Sales & Marketing,region_1,Master's & above,m,other,1,42,5.0,5,8,No,Low,45000,Yes,30,3,No,No,0
EMPID58304,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,33,5.0,6,9,No,Low,43000,No,15,4,No,Yes,1
EMPID25014,Technology,region_15,Bachelor's,m,other,1,34,3.0,10,7,No,High,45000,No,20,5,No,No,0
EMPID40097,Operations,region_2,Bachelor's,f,other,2,23,4.0,2,8,Yes,Low,30000,No,25,6,Yes,No,0
EMPID23560,HR,region_2,Bachelor's,m,sourcing,1,59,4.0,26,9,No,High,45000,Yes,30,4,No,Yes,1
EMPID17423,Sales & Marketing,region_2,,m,other,3,24,2.0,2,7,No,Low,45000,No,35,3,No,Yes,1
EMPID61758,Analytics,region_2,Bachelor's,m,other,1,44,5.0,12,8,Yes,High,50000,Yes,23,3,Yes,Yes,1
EMPID75009,Procurement,region_17,Bachelor's,f,sourcing,1,50,5.0,11,9,Yes,Low,34000,No,35,4,Yes,Yes,1
EMPID17876,Procurement,region_13,Master's & above,f,other,1,37,4.0,4,10,Yes,High,45000,Yes,30,5,Yes,Yes,1
EMPID36924,Technology,region_16,Bachelor's,m,sourcing,1,40,3.0,11,8,No,Low,45000,Yes,25,3,No,Yes,1
EMPID50408,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,30,3.0,3,9,No,High,30000,Yes,20,3,No,Yes,1
EMPID18013,Procurement,region_2,Master's & above,f,sourcing,1,56,3.0,12,10,No,High,20000,Yes,28,2,No,Yes,1
EMPID24104,Finance,region_2,Bachelor's,m,sourcing,1,20,4.0,2,8,Yes,Low,25000,Yes,30,3,Yes,No,0
EMPID32083,Sales & Marketing,region_25,Bachelor's,f,sourcing,1,31,3.0,8,9,No,Low,45000,No,34,4,No,Yes,1
EMPID38330,Procurement,region_15,Bachelor's,m,sourcing,1,40,3.0,12,7,Yes,Low,45000,No,25,4,Yes,Yes,1
EMPID33690,HR,region_22,Bachelor's,m,other,1,30,1.0,6,8,No,High,53000,Yes,30,3,No,Yes,1
EMPID73161,Operations,region_22,Bachelor's,m,other,1,39,3.0,5,9,Yes,High,45000,Yes,25,2,Yes,No,0
EMPID13596,Analytics,region_31,Bachelor's,m,other,2,26,2.0,2,7,No,High,60000,Yes,30,4,No,Yes,1
EMPID45709,Sales & Marketing,region_31,Bachelor's,f,other,1,29,,1,8,No,High,45000,No,25,3,No,Yes,1
EMPID32709,R&D,region_22,Master's & above,m,sourcing,1,40,3.0,5,9,Yes,High,43000,Yes,30,2,Yes,Yes,1
EMPID26599,Sales & Marketing,region_16,Bachelor's,m,other,2,27,,1,7,Yes,Low,56000,No,25,3,Yes,Yes,1
EMPID32656,Sales & Marketing,region_19,Bachelor's,m,other,1,40,4.0,7,8,No,High,43000,No,30,4,No,No,0
EMPID17673,Sales & Marketing,region_4,Master's & above,m,other,1,50,4.0,17,9,Yes,High,45000,Yes,25,3,Yes,Yes,1
EMPID3113,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,25,3.0,3,7,No,Low,34000,Yes,30,2,No,Yes,1
EMPID9150,Analytics,region_22,Bachelor's,f,other,1,28,,1,9,Yes,High,25000,No,25,1,Yes,No,0
EMPID14107,Sales & Marketing,region_1,Master's & above,m,sourcing,1,35,4.0,2,7,No,Low,45000,No,30,3,No,Yes,1
EMPID58747,R&D,region_26,Bachelor's,m,other,1,34,5.0,5,9,Yes,Low,18000,No,25,4,Yes,Yes,1
EMPID3342,Operations,region_13,Master's & above,f,sourcing,1,31,3.0,3,7,Yes,Low,60000,Yes,21,5,Yes,No,0
EMPID77981,Finance,region_22,Bachelor's,m,other,1,27,,1,6,No,Low,89000,No,19,3,No,No,0
EMPID16502,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,27,,1,9,Yes,Low,23000,Yes,20,2,Yes,No,0
EMPID73729,Procurement,region_10,Bachelor's,m,other,1,30,4.0,6,7,No,Low,45000,No,25,3,No,Yes,1
EMPID45624,Analytics,region_31,Bachelor's,m,other,1,30,3.0,7,8,No,Low,39000,Yes,30,4,No,Yes,1
EMPID75677,Operations,region_22,Bachelor's,f,other,1,50,5.0,5,9,Yes,Low,40000,Yes,25,4,Yes,Yes,1
EMPID24040,Technology,region_22,Master's & above,m,other,1,34,5.0,7,6,No,Low,45000,No,30,5,No,Yes,1
EMPID68082,Sales & Marketing,region_2,Master's & above,f,sourcing,1,41,1.0,12,7,No,High,56000,No,525,3,No,Yes,1
EMPID51786,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,32,4.0,6,9,No,Low,34000,Yes,10,3,No,Yes,1
EMPID77577,Sales & Marketing,region_7,Bachelor's,m,other,1,50,3.0,14,9,No,High,45000,No,8,2,No,Yes,1
EMPID54782,Sales & Marketing,region_2,Master's & above,m,sourcing,1,38,4.0,2,8,No,Low,57000,Yes,12,3,No,Yes,1
EMPID52368,Sales & Marketing,region_27,Bachelor's,m,sourcing,2,29,1.0,5,7,Yes,High,76000,Yes,15,4,Yes,Yes,1
EMPID75103,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,4.0,3,10,No,Low,87000,No,26,1,No,Yes,1
EMPID7520,Analytics,region_2,Bachelor's,m,other,1,25,3.0,2,7,Yes,High,43000,No,30,3,Yes,Yes,1
EMPID59147,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,30,3.0,3,6,Yes,Low,87000,Yes,19,4,Yes,No,0
EMPID53092,Technology,region_2,Bachelor's,m,referred,1,47,3.0,7,8,Yes,High,43000,No,15,3,Yes,Yes,1
EMPID34564,Operations,region_4,Master's & above,m,sourcing,1,35,2.0,7,9,No,High,45000,Yes,20,4,No,Yes,1
EMPID66013,Sales & Marketing,region_2,,m,sourcing,2,25,3.0,2,6,Yes,Low,34000,No,30,2,Yes,No,0
EMPID77135,R&D,region_22,Bachelor's,m,other,1,36,4.0,8,8,Yes,Low,25000,No,25,3,Yes,Yes,1
EMPID44575,Legal,region_7,Bachelor's,m,other,1,29,,1,9,No,Low,45000,Yes,16,4,No,Yes,1
EMPID47498,Operations,region_11,Master's & above,f,sourcing,1,42,5.0,11,8,Yes,High,18000,Yes,20,3,Yes,No,0
EMPID20798,HR,region_20,Bachelor's,f,sourcing,1,28,2.0,6,9,No,High,60000,Yes,25,2,No,No,0
EMPID69094,Sales & Marketing,region_2,,m,sourcing,1,39,1.0,9,7,No,High,89000,Yes,30,4,No,No,0
EMPID22261,Procurement,region_7,Master's & above,m,sourcing,1,32,5.0,3,8,No,High,23000,No,25,2,No,Yes,1
EMPID9589,Sales & Marketing,region_31,Bachelor's,f,other,1,31,,1,9,Yes,High,45000,Yes,30,4,Yes,Yes,1
EMPID62658,Sales & Marketing,region_2,,f,sourcing,1,20,,1,10,No,Low,39000,No,25,4,No,No,0
EMPID21628,Analytics,region_12,Bachelor's,m,other,1,34,3.0,8,7,Yes,High,40000,Yes,30,3,Yes,Yes,1
EMPID68484,Procurement,region_2,Master's & above,m,sourcing,2,46,4.0,3,8,No,Low,45000,Yes,23,2,No,No,0
EMPID44523,HR,region_2,Master's & above,m,other,1,47,3.0,7,8,Yes,Low,56000,No,30,3,Yes,No,0
EMPID35420,Operations,region_2,Bachelor's,f,other,1,44,4.0,13,7,Yes,Low,34000,Yes,25,4,Yes,No,0
EMPID43923,Analytics,region_14,Bachelor's,m,sourcing,1,31,4.0,4,5,Yes,High,45000,Yes,30,4,Yes,Yes,1
EMPID64109,Technology,region_26,Bachelor's,f,sourcing,1,23,,1,7,Yes,Low,57000,No,25,3,Yes,Yes,1
EMPID41983,Operations,region_2,Bachelor's,f,sourcing,1,33,3.0,5,7,Yes,High,76000,No,30,4,Yes,Yes,1
EMPID21440,Sales & Marketing,region_31,Bachelor's,m,other,1,41,3.0,12,8,No,Low,87000,Yes,15,3,No,Yes,1
EMPID51256,Finance,region_2,Master's & above,m,other,1,60,5.0,17,9,No,High,43000,No,20,4,No,Yes,1
EMPID66635,Operations,region_15,Bachelor's,m,other,1,31,5.0,4,6,Yes,Low,87000,Yes,25,5,Yes,No,0
EMPID16027,Operations,region_26,Bachelor's,f,other,1,37,3.0,11,8,Yes,High,45000,No,30,3,Yes,No,0
EMPID46020,Analytics,region_7,Bachelor's,m,sourcing,2,39,3.0,4,9,Yes,High,45000,Yes,35,4,Yes,Yes,1
EMPID28509,Sales & Marketing,region_7,Bachelor's,m,other,1,40,5.0,8,7,No,Low,30000,Yes,23,4,No,No,0
EMPID33587,Sales & Marketing,region_28,Master's & above,m,sourcing,1,42,5.0,4,7,Yes,High,20000,Yes,35,3,Yes,Yes,1
EMPID21387,Operations,region_13,Bachelor's,m,other,1,35,4.0,6,8,No,High,25000,Yes,30,4,No,Yes,1
EMPID55927,Operations,region_13,Master's & above,f,sourcing,1,41,4.0,6,9,No,Low,45000,Yes,25,4,No,Yes,1
